name,locations,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,characteristics_diet
Mola mola (Ocean Sunfish),['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Carnivore
Moray Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Anguilliformes,Carnivore
Needlefish,"['Africa', 'Asia', 'Central-America', 'North-America', 'Oceania', 'South-America']",Animalia,Chordata,Actinopterygii,Beloniformes,Carnivore
Oyster Toadfish,['Ocean'],Animalia,Chordata,Actinopterygii,Batrachoidiformes,Omnivore
Paddlefish,"['Asia', 'North-America']",Animalia,Chordata,Actinopterygii,Acipenseriformes,Carnivore
Pike Fish,"['Asia', 'Eurasia', 'Europe', 'North-America']",Animalia,Chordata,Actinopterygii,Esociformes,Carnivore
Pipefish,['Ocean'],Animalia,Chordata,Actinopterygii,Syngnathiformes,Carnivore
Pufferfish,['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Carnivore
Red-Lipped Batfish,['South-America'],Animalia,Chordata,Actinopterygii,Lophiiformes,Carnivore
Redtail Catfish,['South-America'],Animalia,Chordata,Actinopterygii,Siluriformes,Carnivore
Ribbon Eel,"['Africa', 'Asia', 'Oceania']",Animalia,Chordata,Actinopterygii,Anguilliformes,Carnivore
Sardines,['Ocean'],Animalia,Chordata,Actinopterygii,Clupeiformes,Omnivore
Sea Dragon,"['Ocean', 'Oceania']",Animalia,Chordata,Actinopterygii,Syngnathiformes,Carnivore
Seahorse,"['Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Ocean', 'Oceania', 'South-America']",Animalia,Chordata,Actinopterygii,Syngnathiformes,Omnivore
Silver Dollar,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Omnivore
Sockeye Salmon,"['North-America', 'Ocean']",Animalia,Chordata,Actinopterygii,Salmoniformes,Carnivore
Spotted Gar,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Lepisosteiformes,Carnivore
Squirrelfish,['Ocean'],Animalia,Chordata,Actinopterygii,Beryciformes,Carnivore
Stargazer Fish,"['North-America', 'Ocean', 'Oceania']",Animalia,Chordata,Actinopterygii,Trachiniformes,Omnivore
Sturgeon,['Ocean'],Animalia,Chordata,Actinopterygii,Acipenseriformes,Carnivore
Sucker Fish,[],Animalia,Chordata,Actinopterygii,Cypriniformes,Omnivore
Surgeonfish,"['Central-America', 'North-America', 'Ocean']",Animalia,Chordata,Actinopterygii,Acanthuriformes,Herbivore
Telescope Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Aulopiformes,Omnivore
Tetra,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Omnivore
Tire Track Eel,['Asia'],Animalia,Chordata,Actinopterygii,Synbranchiformes,Carnivore
Walleye Fish,['North-America'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
Wels Catfish,['Europe'],Animalia,Chordata,Actinopterygii,Siluriformes,Omnivore
Wolf Eel,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
Wrasse,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
X-Ray Tetra,['South-America'],Animalia,Chordata,Actinopterygii,Characiformes,Omnivore
Yellowfin Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Carnivore
Zebra Pleco,['South-America'],Animalia,Chordata,Actinopterygii,Siluriformes,Omnivore
Angelfish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Omnivore
Anglerfish,['Ocean'],Animalia,Chordata,Actinopterygii,Lophiiformes,Omnivore
Barramundi Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
Betta Fish (Siamese Fighting Fish),['Asia'],Animalia,Chordata,Actinopterygii,Perciformes,Carnivore
Blobfish,['Ocean'],Animalia,Chordata,Actinopterygii,Scorpaeniformes,Omnivore
Blue Catfish,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Siluriformes,Omnivore
Bluefin Tuna,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Carnivore
Bonito Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Scombriformes,Carnivore
Bowfin,"['Central-America', 'North-America']",Animalia,Chordata,Actinopterygii,Amiiformes,Carnivore
Boxfish,['Ocean'],Animalia,Chordata,Actinopterygii,Tetraodontiformes,Omnivore
Butterfly Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Omnivore
Chinese Paddlefish,['Asia'],Animalia,Chordata,Actinopterygii,Acipenseriformes,Carnivore
Clownfish,['Ocean'],Animalia,Chordata,Actinopterygii,Perciformes,Omnivore
Cobia Fish,['Ocean'],Animalia,Chordata,Actinopterygii,Carangiformes,Carnivore
